,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
0,Kyaukse-1,48534.0,774.0,4.0,Mandalay,35479.0,40018.0,Aung Kyaw Oo,NLD,72,25415
1,Kyaukse-1,48534.0,774.0,4.0,Mandalay,35479.0,40018.0,Chit Swe,PUO,24,8407
0,Kyaukse-2,47027.0,779.0,5.0,Mandalay,34394.0,39174.0,Kyaw Win,NLD,66,22866
1,Kyaukse-2,47027.0,779.0,5.0,Mandalay,34394.0,39174.0,Khin Maung Than,NUP,30,10198
0,Tada-U-1,37804.0,783.0,4.0,Mandalay,24942.0,28712.0,Ayar,NLD,67,16686
1,Tada-U-1,37804.0,783.0,4.0,Mandalay,24942.0,28712.0,Maj. Tin Aung,NUP,31,7629
0,Tada-U-2,37967.0,787.0,5.0,Mandalay,25897.0,30525.0,Than Ni,NLD,63,16423
1,Tada-U-2,37967.0,787.0,5.0,Mandalay,25897.0,30525.0,Capt. Myint Swe,NUP,32,8354
0,Singaing-1,31808.0,791.0,6.0,Mandalay,24641.0,27285.0,Dr. Soe Myint,NLD,75,18461
1,Singaing-1,31808.0,791.0,6.0,Mandalay,24641.0,27285.0,Tun Tin,NUP,20,4822
0,Singaing-2,29359.0,795.0,6.0,Mandalay,22379.0,24802.0,Dr. Hla Soe Nyunt,NLD,69,15458
1,Singaing-2,29359.0,795.0,6.0,Mandalay,22379.0,24802.0,Kho,PUO,22,4921
0,Myittha-1,40971.0,800.0,6.0,Mandalay,29520.0,34695.0,Daw Ohn Kyi,NLD,71,20903
1,Myittha-1,40971.0,800.0,6.0,Mandalay,29520.0,34695.0,Ohn Maung,NUP,23,6935
0,Myittha-2,42882.0,804.0,7.0,Mandalay,29741.0,35283.0,Myo Myint,NLD,61,18129
1,Myittha-2,42882.0,804.0,7.0,Mandalay,29741.0,35283.0,Mya Maung,NUP,26,7697
0,Bogale-1,83906.0,809.0,3.0,Ayeyarwady,38608.0,45958.0,Win Kyaing,NLD,52,19953
1,Bogale-1,83906.0,809.0,3.0,Ayeyarwady,38608.0,45958.0,Khin Maung Gyi,NUP,47,17964
0,Bogale-2,89656.0,813.0,3.0,Ayeyarwady,52045.0,58635.0,Dr. Sein Myint,NLD,55,28259
1,Bogale-2,89656.0,813.0,3.0,Ayeyarwady,52045.0,58635.0,Maj-Gen Myint Lwin,NUP,44,22882
0,Magway-1,73001.0,817.0,6.0,Magway,47536.0,51016.0,Kyaw Myint,NLD,78,36934
1,Magway-1,73001.0,817.0,6.0,Magway,47536.0,51016.0,Col. Sein aung,NUP,17,7887
0,Magway-2,72654.0,821.0,5.0,Magway,46910.0,51533.0,Aung Soe,NLD,73,34012
1,Magway-2,72654.0,821.0,5.0,Magway,46910.0,51533.0,Nyunt Hlaing,NUP,24,11167
0,Chauk-1,58464.0,825.0,8.0,Magway,38181.0,43366.0,Myint Thein,NLD,76,29135
1,Chauk-1,58464.0,825.0,8.0,Magway,38181.0,43366.0,Hla Kyee Maung,NUP,19,7278
0,Chauk-2,58727.0,829.0,3.0,Magway,38047.0,43437.0,Dr. Nyunt Sein,NLD,75,28501
1,Chauk-2,58727.0,829.0,3.0,Magway,38047.0,43437.0,Than Nyunt,WUO,24,9082
0,Myothit-1,37313.0,834.0,4.0,Magway,21136.0,24478.0,Tha Aung,NLD,65,13798
1,Myothit-1,37313.0,834.0,4.0,Magway,21136.0,24478.0,Col. Aung Win,PUO,27,5780
0,Myothit-2,36715.0,839.0,3.0,Magway,22409.0,26679.0,Chit Htwe,NLD,70,15647
1,Myothit-2,36715.0,839.0,3.0,Magway,22409.0,26679.0,Tin Wan,PUO,24,5358
0,Hpa-an-1,56084.0,844.0,5.0,Kayin,25489.0,30566.0,Saw Chit Than,NLD,72,18272
1,Hpa-an-1,56084.0,844.0,5.0,Kayin,25489.0,30566.0,Saw Kyaw Khin Win,NUP,22,5582
0,Hpa-an-2,54177.0,849.0,6.0,Kayin,29616.0,34507.0,Tun Chit,NLD,59,17544
1,Hpa-an-2,54177.0,849.0,6.0,Kayin,29616.0,34507.0,Nai Ngwe Thein,MNDF,19,5643
2,Hpa-an-2,54177.0,849.0,6.0,Kayin,29616.0,34507.0,Nai Ohn Maung,NUP,17,4947
0,Hpa-an-3,52590.0,857.0,4.0,Kayin,24983.0,29737.0,Nang Khin Htwe Myint,NLD,74,18423
1,Hpa-an-3,52590.0,857.0,4.0,Kayin,24983.0,29737.0,Saw Aung Pwint,NUP,15,3664
2,Hpa-an-3,52590.0,857.0,4.0,Kayin,24983.0,29737.0,Khun Kyo Shein,UPNO,10,2526
0,Kyaikto-1,39706.0,862.0,3.0,Mon,24657.0,28819.0,Ye Htut,NLD,66,16281
